NOM_MUN,CVMUN,POBTOT10,HOM2010,MUJ2010,%HOM2010,%MUJ2010,RELHM10,POBTOT15,HOM2015,MUJ2015,%HOM2015,%MUJ2015,RELHM15,AREAMT,AREAKM,DENS10,DENS15,TVDENS,TPADENS
Aguascalientes,01001,797010,386429,410581,48.4848370786,51.5151629214,0.9411760408,877190,425731,451459,48.5334990139,51.4665009861,0.9430114363,1178100326,1178.1,676.52,744.58,10.06,1.93566143
Asientos,01002,45492,22512,22980,49.485623846,50.514376154,0.9796344648,46464,22745,23719,48.9518767218,51.0481232782,0.9589358742,549009439.9,549.01,82.86,84.63,2.14,0.4236222939
Calvillo,01003,54136,26250,27886,48.4889906901,51.5110093099,0.9413325683,56048,27298,28750,48.7046817014,51.2953182986,0.9494956522,932737304.9,932.74,58.04,60.09,3.53,0.696635501
Cosío,01004,15042,7326,7716,48.7036298365,51.2963701635,0.9494556765,15577,7552,8025,48.4817358927,51.5182641073,0.94105919,129739083.1,129.74,115.94,120.06,3.55,0.7008203706
Jesús María,01005,99590,49090,50500,49.2920976002,50.7079023998,0.9720792079,120405,60135,60270,49.9439392052,50.0560607948,0.9977600796,504989456.3,504.99,197.21,238.43,20.9,3.8691058726
Pabellón de Arteaga,01006,41862,20170,21692,48.1821222111,51.8178777889,0.9298358842,46473,22490,23983,48.3936909603,51.6063090397,0.9377475712,197762094.3,197.76,211.68,235,11.02,2.1121938749
Rincón de Romos,01007,49156,24067,25089,48.9604524371,51.0395475629,0.9592650165,53866,26693,27173,49.5544499313,50.4455500687,0.9823354065,376198668.7,376.2,130.66,143.18,9.58,1.8469296178
San José de Gracia,01008,8443,4043,4400,47.8858225749,52.1141774251,0.9188636364,8896,4276,4620,48.0665467626,51.9334532374,0.9255411255,866700173.6,866.7,9.74,10.26,5.34,1.0456636895
Tepezalá,01009,19668,9600,10068,48.8102501525,51.1897498475,0.9535160906,20926,10197,10729,48.7288540572,51.2711459428,0.9504147637,232063947.1,232.06,84.75,90.17,6.4,1.2475382629
El Llano,01010,18828,9573,9255,50.8444869344,49.1555130656,1.0343598055,20245,9982,10263,49.3060014818,50.6939985182,0.9726200916,509182416.2,509.18,36.98,39.76,7.52,1.460241984
San Francisco de los Romo,01011,35769,17578,18191,49.1431127513,50.8568872487,0.9663020175,46454,22992,23462,49.4941232187,50.5058767813,0.9799676072,139187575.2,139.19,256.98,333.75,29.87,5.3669453836
Ensenada,02001,466814,235130,231684,50.3690977563,49.6309022437,1.0148737073,486639,243180,243459,49.9713339868,50.0286660132,0.9988540165,53104715872,53104.72,8.79,9.16,4.21,0.8280387728
Mexicali,02002,936826,473203,463623,50.5113009246,49.4886990754,1.0206633407,988417,490894,497523,49.6646658242,50.3353341758,0.9866759929,15635466737,15635.47,59.92,63.22,5.51,1.0779760938
Tecate,02003,101079,53323,47756,52.7537866421,47.2462133579,1.1165717397,102406,51267,51139,50.0624963381,49.9375036619,1.0025029821,2687215905,2687.22,37.61,38.11,1.33,0.2644839915
Tijuana,02004,1559683,783653,776030,50.2443765817,49.7556234183,1.0098230739,1641570,816738,824832,49.7534677169,50.2465322831,0.9901870926,1235694725,1235.69,1262.2,1328.46,5.25,1.0285363727
Playas de Rosarito,02005,90668,46301,44367,51.0665284334,48.9334715666,1.0435909572,96734,48262,48472,49.8914549176,50.1085450824,0.9956676019,499738564.5,499.74,181.43,193.57,6.69,1.3038124657
Comondú,03001,70816,36436,34380,51.4516493448,48.5483506552,1.0598022106,72564,36413,36151,50.1805302905,49.8194697095,1.007247379,18331951345,18331.95,3.86,3.96,2.59,0.5128474192
Mulegé,03002,59114,30617,28497,51.7931454478,48.2068545522,1.0743937958,60171,31114,29057,51.7092951754,48.2907048246,1.0707918918,32059835144,32059.84,1.84,1.88,2.17,0.4310504658
